chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.53
celestia,69.48,23.68
cosmoshub,94.69,28.15
injective,46.03,21.84
near,99.65,27.64
osmosis,71.67,21.72
sei,25.9,17.5
solana,100.0,28.52
sui,72.61,17.99
tezos,98.81,29.03
