file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,858,0.000,343,0.200,68.892643,4.582431e-05,0.000000
avalanche_weights.csv,858,0.100,343,0.200,62.563053,6.285872e-07,0.000000
avalanche_weights.csv,858,0.200,343,0.200,56.233462,2.041851e-09,0.000000
avalanche_weights.csv,858,0.300,343,0.200,49.903871,9.078665e-13,0.000000
avalanche_weights.csv,858,0.000,343,0.250,88.126162,7.443338e-02,0.000000
avalanche_weights.csv,858,0.100,343,0.250,80.073103,7.549938e-03,0.000000
avalanche_weights.csv,858,0.200,343,0.250,72.020044,2.518570e-04,0.000000
avalanche_weights.csv,858,0.300,343,0.250,63.966985,1.815484e-06,0.000000
avalanche_weights.csv,858,0.000,343,0.300,105.880367,7.985580e-01,0.000000
avalanche_weights.csv,858,0.100,343,0.300,96.251771,3.223076e-01,0.000000
avalanche_weights.csv,858,0.200,343,0.300,86.623175,5.209100e-02,0.000000
avalanche_weights.csv,858,0.300,343,0.300,76.994579,2.391469e-03,0.000000
avalanche_weights.csv,858,0.000,343,0.330,115.564089,1.000000e+00,0.000000
avalanche_weights.csv,858,0.100,343,0.330,105.087051,7.624763e-01,0.000000
avalanche_weights.csv,858,0.200,343,0.330,94.610012,2.539618e-01,0.000000
avalanche_weights.csv,858,0.300,343,0.330,84.132974,2.695539e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.900084,4.789846e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.210075,3.444959e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.520067,2.235879e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.830059,1.269399e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.862232,8.291223e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,10.056009,7.004485e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.249785,5.483026e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.443562,3.891039e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.537163,9.832877e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.643447,9.214980e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.749730,8.130342e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.856014,6.643497e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.269442,9.998975e-01,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.342497,9.738342e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.415553,8.981719e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.488609,7.732272e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,17.016622,1.613524e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.394960,6.386843e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.773298,1.789527e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,12.151636,3.090684e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,20.711711,5.651208e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,18.760540,3.293585e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,16.809369,1.456092e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,14.858197,4.379489e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,26.505118,9.996718e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,24.054606,9.097851e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,21.604094,6.733809e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,19.153583,3.744310e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,26.505118,9.996718e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,24.054606,9.097851e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,21.604094,6.733809e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,19.153583,3.744310e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.493534,7.044635e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.164180,6.057462e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.834827,4.980472e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.505473,3.866475e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.661238,9.422158e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.255114,8.812768e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.848991,7.968231e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.442867,6.900245e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.763439,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.300,6.287095,9.923904e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.810751,9.588457e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.334407,8.950194e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,6.763439,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.287095,9.923904e-01,0.000000
injective_weights.csv,50,0.200,20,0.330,5.810751,9.588457e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.334407,8.950194e-01,0.000000
near_weights.csv,342,0.000,136,0.200,28.990795,4.638202e-02,0.000000
near_weights.csv,342,0.100,136,0.200,26.290546,1.007503e-02,0.000000
near_weights.csv,342,0.200,136,0.200,23.590296,1.255599e-03,0.000000
near_weights.csv,342,0.300,136,0.200,20.890047,7.237610e-05,0.000000
near_weights.csv,342,0.000,136,0.250,37.718796,5.990569e-01,0.000000
near_weights.csv,342,0.100,136,0.250,34.225279,3.006729e-01,0.000000
near_weights.csv,342,0.200,136,0.250,30.731762,9.900880e-02,0.000000
near_weights.csv,342,0.300,136,0.250,27.238245,1.818759e-02,0.000000
near_weights.csv,342,0.000,136,0.300,42.032503,9.172225e-01,0.000000
near_weights.csv,342,0.100,136,0.300,38.147381,6.368545e-01,0.000000
near_weights.csv,342,0.200,136,0.300,34.262260,3.034751e-01,0.000000
near_weights.csv,342,0.300,136,0.300,30.377138,8.590074e-02,0.000000
near_weights.csv,342,0.000,136,0.330,45.272359,9.999726e-01,0.000000
near_weights.csv,342,0.100,136,0.330,41.103018,8.649118e-01,0.000000
near_weights.csv,342,0.200,136,0.330,36.933677,5.290009e-01,0.000000
near_weights.csv,342,0.300,136,0.330,32.764336,2.004416e-01,0.000000
