chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.36
celestia,55.46,23.4
cosmoshub,85.23,27.89
injective,28.32,21.32
near,95.6,27.45
osmosis,51.58,21.02
sei,14.32,17.12
solana,100.0,28.31
sui,53.08,17.36
tezos,89.84,28.84
