chain,bound_reduction_%,mu_reduction_%
avalanche,98.51,27.15
celestia,18.17,22.21
cosmoshub,44.94,27.46
injective,4.64,20.0
near,64.69,27.11
osmosis,18.77,20.2
sei,4.61,16.78
solana,98.68,27.95
sui,16.72,16.56
tezos,62.5,28.69
