chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.43
celestia,55.58,23.39
cosmoshub,85.74,27.88
injective,28.52,21.29
near,95.56,27.45
osmosis,52.05,20.97
sei,14.61,17.03
solana,100.0,28.41
sui,53.11,17.35
tezos,91.01,28.89
