file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,865,0.000,346,0.200,72.752931,2.467664e-04,0.000000
avalanche_weights.csv,865,0.100,346,0.200,66.077638,4.839242e-06,0.000000
avalanche_weights.csv,865,0.200,346,0.200,59.402345,2.378611e-08,0.000000
avalanche_weights.csv,865,0.300,346,0.200,52.727051,1.732542e-11,0.000000
avalanche_weights.csv,865,0.000,346,0.250,87.647833,5.420266e-02,0.000000
avalanche_weights.csv,865,0.100,346,0.250,79.643050,4.837911e-03,0.000000
avalanche_weights.csv,865,0.200,346,0.250,71.638266,1.386172e-04,0.000000
avalanche_weights.csv,865,0.300,346,0.250,63.633483,8.303612e-07,0.000000
avalanche_weights.csv,865,0.000,346,0.300,105.443193,7.340206e-01,0.000000
avalanche_weights.csv,865,0.100,346,0.300,95.858874,2.674574e-01,0.000000
avalanche_weights.csv,865,0.200,346,0.300,86.274555,3.829248e-02,0.000000
avalanche_weights.csv,865,0.300,346,0.300,76.690235,1.517690e-03,0.000000
avalanche_weights.csv,865,0.000,346,0.330,115.616968,1.000000e+00,0.000000
avalanche_weights.csv,865,0.100,346,0.330,105.135272,7.191140e-01,0.000000
avalanche_weights.csv,865,0.200,346,0.330,94.653575,2.217895e-01,0.000000
avalanche_weights.csv,865,0.300,346,0.330,84.171878,2.137677e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.873730,4.737495e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.186357,3.400442e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.498984,2.202311e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.811611,1.247566e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,11.015685,8.499815e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,10.194117,7.245284e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.372548,5.723898e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.550980,4.100193e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.803256,9.927113e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.882930,9.426964e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.962605,8.429103e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.042279,6.980150e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.628473,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.665626,9.883352e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.702779,9.270677e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.739931,8.116018e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.784445,1.437815e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.186000,5.540195e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.587556,1.504719e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,11.989111,2.504618e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,20.505483,5.395209e-01,0.000000
