chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.54
celestia,55.49,23.4
cosmoshub,85.35,27.89
injective,27.68,21.4
near,95.65,27.44
osmosis,59.58,21.63
sei,13.9,17.24
solana,100.0,28.44
sui,53.54,17.43
tezos,91.87,28.83
