chain,bound_reduction_%,mu_reduction_%
avalanche,99.87,27.4
celestia,30.39,22.58
cosmoshub,68.34,27.67
injective,11.3,21.04
near,89.83,27.34
osmosis,26.45,20.71
sei,4.23,16.89
solana,99.94,28.25
sui,32.15,16.93
tezos,67.51,28.68
