chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.62
celestia,73.97,23.2
cosmoshub,93.93,28.19
injective,45.09,21.99
near,99.67,27.71
osmosis,77.3,22.74
sei,26.73,17.18
solana,100.0,28.65
sui,72.71,18.14
tezos,98.73,28.98
