chain,bound_reduction_%,mu_reduction_%
avalanche,99.76,27.33
celestia,36.85,22.21
cosmoshub,68.04,27.67
injective,10.36,21.14
near,87.54,27.47
osmosis,35.54,21.16
sei,6.31,16.32
solana,99.9,28.26
sui,31.49,17.02
tezos,62.77,28.64
