chain,bound_reduction_%,mu_reduction_%
avalanche,99.75,27.36
celestia,38.56,22.1
cosmoshub,68.35,27.67
injective,12.56,20.9
near,88.39,27.52
osmosis,35.15,21.19
sei,6.27,16.33
solana,99.96,28.31
sui,32.01,16.95
tezos,69.92,28.85
