file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,911,0.000,364,0.200,72.864636,2.151123e-05,0.000000
avalanche_weights.csv,911,0.100,364,0.200,66.137558,2.145478e-07,0.000000
avalanche_weights.csv,911,0.200,364,0.200,59.410479,4.535914e-10,0.000000
avalanche_weights.csv,911,0.300,364,0.200,52.683401,1.122041e-13,0.000000
avalanche_weights.csv,911,0.000,364,0.250,92.203885,4.653424e-02,0.000000
avalanche_weights.csv,911,0.100,364,0.250,83.742662,3.607983e-03,0.000000
avalanche_weights.csv,911,0.200,364,0.250,75.281440,8.351892e-05,0.000000
avalanche_weights.csv,911,0.300,364,0.250,66.820217,3.646764e-07,0.000000
avalanche_weights.csv,911,0.000,364,0.300,109.882883,6.718400e-01,0.000000
avalanche_weights.csv,911,0.100,364,0.300,99.853541,2.143395e-01,0.000000
avalanche_weights.csv,911,0.200,364,0.300,89.824199,2.511403e-02,0.000000
avalanche_weights.csv,911,0.300,364,0.300,79.794857,7.407574e-04,0.000000
avalanche_weights.csv,911,0.000,364,0.330,123.205931,1.000000e+00,0.000000
avalanche_weights.csv,911,0.100,364,0.330,112.004108,7.718064e-01,0.000000
avalanche_weights.csv,911,0.200,364,0.330,100.802286,2.481066e-01,0.000000
avalanche_weights.csv,911,0.300,364,0.330,89.600463,2.360805e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.190861,3.408884e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,7.531775,2.254620e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,6.872689,1.320685e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.213603,6.591873e-02,0.000000
celestia_weights.csv,100,0.000,40,0.250,11.251326,8.794821e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,10.366193,7.534466e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.481061,5.934858e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.595928,4.188275e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.657081,9.880284e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.671372,9.241455e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.685664,8.035806e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.699956,6.352991e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.611505,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.570354,9.846818e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.529204,9.101867e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.488053,7.731389e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.472747,4.123446e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,17.645473,2.149494e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,15.818198,8.373990e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,13.990923,2.175167e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.732095,7.969173e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.618886,5.536088e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.505676,3.012955e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.392467,1.168928e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.733536,9.887845e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.360182,8.555558e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,20.986829,5.990599e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.613475,3.130430e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.324509,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.732059,9.887485e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.139608,8.359352e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.547157,5.447003e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.422810,6.842280e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.100529,5.854925e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.778248,4.790012e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.455967,3.699899e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.604187,9.350605e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.203768,8.718964e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.803350,7.858892e-01,0.000000
