file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,877,0.000,350,0.200,71.266896,6.504246e-05,0.000000
avalanche_weights.csv,877,0.100,350,0.200,64.698929,9.062845e-07,0.000000
avalanche_weights.csv,877,0.200,350,0.200,58.130963,2.931492e-09,0.000000
avalanche_weights.csv,877,0.300,350,0.200,51.562996,1.259807e-12,0.000000
avalanche_weights.csv,877,0.000,350,0.250,90.844818,8.659222e-02,0.000000
avalanche_weights.csv,877,0.100,350,0.250,82.518603,9.001054e-03,0.000000
avalanche_weights.csv,877,0.200,350,0.250,74.192388,3.019215e-04,0.000000
avalanche_weights.csv,877,0.300,350,0.250,65.866173,2.128122e-06,0.000000
avalanche_weights.csv,877,0.000,350,0.300,108.263337,8.045917e-01,0.000000
avalanche_weights.csv,877,0.100,350,0.300,98.394814,3.227027e-01,0.000000
avalanche_weights.csv,877,0.200,350,0.300,88.526291,5.070575e-02,0.000000
avalanche_weights.csv,877,0.300,350,0.300,78.657768,2.193619e-03,0.000000
avalanche_weights.csv,877,0.000,350,0.330,117.690155,1.000000e+00,0.000000
avalanche_weights.csv,877,0.100,350,0.330,106.998677,7.473755e-01,0.000000
avalanche_weights.csv,877,0.200,350,0.330,96.307199,2.381933e-01,0.000000
avalanche_weights.csv,877,0.300,350,0.330,85.615720,2.342778e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.803526,4.598158e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.123174,3.282687e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.442821,2.114035e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.762468,1.190478e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.151497,7.171766e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.376347,5.731318e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.601198,4.198620e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.826048,2.747626e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.472945,9.804111e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.545650,9.118626e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.618356,7.934260e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.691061,6.336226e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.332842,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.359558,9.747505e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.386273,8.949541e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.412989,7.610886e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.901856,4.646493e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,18.031670,2.519879e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,16.161485,1.026767e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,14.291299,2.809687e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.904449,8.138410e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.774004,5.728323e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.643559,3.163540e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.513114,1.247972e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.711620,9.882447e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.340458,8.538462e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,20.969296,5.969075e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.598134,3.113599e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.281067,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.692960,9.877749e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.104854,8.327448e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.516747,5.409210e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.479599,7.005221e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.151640,6.017817e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.823680,4.943027e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.495720,3.833593e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.653709,9.412974e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.248339,8.800606e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.842968,7.953964e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.437597,6.885058e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.754843,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.300,6.279359,9.920686e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.803874,9.581474e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.328390,8.940082e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,6.754843,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.279359,9.920686e-01,0.000000
injective_weights.csv,50,0.200,20,0.330,5.803874,9.581474e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.328390,8.940082e-01,0.000000
near_weights.csv,306,0.000,122,0.200,25.937789,6.154720e-02,0.000000
near_weights.csv,306,0.100,122,0.200,23.543356,1.574368e-02,0.000000
near_weights.csv,306,0.200,122,0.200,21.148924,2.468551e-03,0.000000
near_weights.csv,306,0.300,122,0.200,18.754491,1.966984e-04,0.000000
near_weights.csv,306,0.000,122,0.250,33.844081,6.322615e-01,0.000000
near_weights.csv,306,0.100,122,0.250,30.738758,3.434106e-01,0.000000
near_weights.csv,306,0.200,122,0.250,27.633435,1.288600e-01,0.000000
near_weights.csv,306,0.300,122,0.250,24.528112,2.902736e-02,0.000000
near_weights.csv,306,0.000,122,0.300,37.620087,9.210507e-01,0.000000
near_weights.csv,306,0.100,122,0.300,34.177033,6.631482e-01,0.000000
near_weights.csv,306,0.200,122,0.300,30.733978,3.430002e-01,0.000000
near_weights.csv,306,0.300,122,0.300,27.290924,1.124523e-01,0.000000
near_weights.csv,306,0.000,122,0.330,40.861696,1.000000e+00,0.000000
near_weights.csv,306,0.100,122,0.330,37.134350,8.940433e-01,0.000000
near_weights.csv,306,0.200,122,0.330,33.407004,5.910440e-01,0.000000
near_weights.csv,306,0.300,122,0.330,29.679658,2.577545e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.240023,3.501398e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,7.616021,2.391526e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,6.992019,1.470392e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.200,6.368016,7.890209e-02,0.000000
osmosis_weights.csv,100,0.000,40,0.250,10.325184,7.466697e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.250,9.572666,6.111179e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.250,8.820148,4.631127e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.250,8.067629,3.180224e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.300,12.255331,9.688866e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.300,11.389798,8.953441e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.300,10.524265,7.788583e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.300,9.658732,6.275118e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.330,14.073206,1.000000e+00,0.000000
osmosis_weights.csv,100,0.100,40,0.330,13.105886,9.986851e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.330,12.138565,9.615590e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.330,11.171244,8.698070e-01,0.000000
sei_weights.csv,40,0.000,16,0.200,3.712778,7.899541e-01,0.000000
sei_weights.csv,40,0.100,16,0.200,3.501500,7.265519e-01,0.000000
sei_weights.csv,40,0.200,16,0.200,3.290222,6.551442e-01,0.000000
sei_weights.csv,40,0.300,16,0.200,3.078944,5.768242e-01,0.000000
sei_weights.csv,40,0.000,16,0.250,4.470024,9.459383e-01,0.000000
sei_weights.csv,40,0.100,16,0.250,4.223021,9.072771e-01,0.000000
sei_weights.csv,40,0.200,16,0.250,3.976019,8.568853e-01,0.000000
sei_weights.csv,40,0.300,16,0.250,3.729017,7.944760e-01,0.000000
sei_weights.csv,40,0.000,16,0.300,5.149092,9.978049e-01,0.100760
sei_weights.csv,40,0.100,16,0.300,4.874183,9.856860e-01,0.073880
sei_weights.csv,40,0.200,16,0.300,4.599274,9.616999e-01,0.055920
sei_weights.csv,40,0.300,16,0.300,4.324364,9.245284e-01,0.043210
sei_weights.csv,40,0.000,16,0.330,5.776404,1.000000e+00,0.278170
sei_weights.csv,40,0.100,16,0.330,5.478764,1.000000e+00,0.225280
sei_weights.csv,40,0.200,16,0.330,5.181123,9.985106e-01,0.177130
sei_weights.csv,40,0.300,16,0.330,4.883483,9.862820e-01,0.140650
solana_weights.csv,960,0.000,384,0.200,81.143912,1.210960e-04,0.000000
solana_weights.csv,960,0.100,384,0.200,73.389521,1.309912e-06,0.000000
solana_weights.csv,960,0.200,384,0.200,65.635130,2.639920e-09,0.000000
solana_weights.csv,960,0.300,384,0.200,57.880738,5.045136e-13,0.000000
solana_weights.csv,960,0.000,384,0.250,97.080226,3.752980e-02,0.000000
solana_weights.csv,960,0.100,384,0.250,87.852203,2.207825e-03,0.000000
solana_weights.csv,960,0.200,384,0.250,78.624180,3.244481e-05,0.000000
solana_weights.csv,960,0.300,384,0.250,69.396158,6.848576e-08,0.000000
solana_weights.csv,960,0.000,384,0.300,117.769494,7.436108e-01,0.000000
solana_weights.csv,960,0.100,384,0.300,106.672545,2.413855e-01,0.000000
solana_weights.csv,960,0.200,384,0.300,95.575596,2.556060e-02,0.000000
solana_weights.csv,960,0.300,384,0.300,84.478646,5.678143e-04,0.000000
solana_weights.csv,960,0.000,384,0.330,128.479391,1.000000e+00,0.000000
solana_weights.csv,960,0.100,384,0.330,116.431451,6.817122e-01,0.000000
solana_weights.csv,960,0.200,384,0.330,104.383512,1.684602e-01,0.000000
solana_weights.csv,960,0.300,384,0.330,92.335573,1.013490e-02,0.000000
sui_weights.csv,122,0.000,48,0.200,9.921600,2.890092e-01,0.000000
sui_weights.csv,122,0.100,48,0.200,9.322883,2.030979e-01,0.000000
sui_weights.csv,122,0.200,48,0.200,8.724165,1.323045e-01,0.000000
sui_weights.csv,122,0.300,48,0.200,8.125448,7.856718e-02,0.000000
sui_weights.csv,122,0.000,48,0.250,12.259200,6.835250e-01,0.000000
