file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,863,0.000,345,0.200,69.371342,4.521831e-05,0.000000
avalanche_weights.csv,863,0.100,345,0.200,62.993883,6.088864e-07,0.000000
avalanche_weights.csv,863,0.200,345,0.200,56.616424,1.924445e-09,0.000000
avalanche_weights.csv,863,0.300,345,0.200,50.238966,8.220708e-13,0.000000
avalanche_weights.csv,863,0.000,345,0.250,89.498849,8.874062e-02,0.000000
avalanche_weights.csv,863,0.100,345,0.250,81.308524,9.527885e-03,0.000000
avalanche_weights.csv,863,0.200,345,0.250,73.118198,3.366138e-04,0.000000
avalanche_weights.csv,863,0.300,345,0.250,64.927873,2.569470e-06,0.000000
avalanche_weights.csv,863,0.000,345,0.300,104.270556,6.921033e-01,0.000000
avalanche_weights.csv,863,0.100,345,0.300,94.762968,2.367932e-01,0.000000
avalanche_weights.csv,863,0.200,345,0.300,85.255379,3.145538e-02,0.000000
avalanche_weights.csv,863,0.300,345,0.300,75.747790,1.136145e-03,0.000000
avalanche_weights.csv,863,0.000,345,0.330,114.693300,9.997267e-01,0.000000
avalanche_weights.csv,863,0.100,345,0.330,104.263367,6.917444e-01,0.000000
avalanche_weights.csv,863,0.200,345,0.330,93.833435,2.036086e-01,0.000000
avalanche_weights.csv,863,0.300,345,0.330,83.403502,1.849981e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.999327,4.987046e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.299394,3.614011e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.599462,2.364335e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.899529,1.353571e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.035915,6.968847e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.272323,5.527395e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.508732,4.017689e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.745140,2.608060e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.767225,9.916677e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.850502,9.400258e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.933780,8.390061e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.017057,6.935269e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.489884,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.540896,9.834476e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.591907,9.164906e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.642919,7.971579e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.863291,1.496118e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.256962,5.818104e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.650633,1.597103e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,12.044304,2.692146e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,20.586363,5.495708e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,18.647727,3.168138e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,16.709091,1.383413e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,14.770454,4.101735e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,26.370822,9.988943e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.933739,9.012057e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,21.496657,6.606920e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,19.059575,3.634724e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,29.026115,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,26.363504,9.988386e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.700892,8.836397e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,21.038281,6.053660e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.294437,6.460984e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,3.984993,5.479683e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.675549,4.442454e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.366106,3.400155e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.476084,9.173341e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.088476,8.494564e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.700867,7.603183e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.313259,6.517961e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.587362,9.996818e-01,0.000000
injective_weights.csv,50,0.100,20,0.300,6.128626,9.843782e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.669889,9.432615e-01,0.000000
