chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.52
celestia,69.58,23.67
cosmoshub,94.87,28.14
injective,46.18,21.82
near,99.66,27.64
osmosis,71.96,21.67
sei,26.08,17.43
solana,100.0,28.54
sui,72.63,17.98
tezos,99.0,29.06
