chain,bound_reduction_%,mu_reduction_%
avalanche,99.89,27.29
celestia,29.72,22.61
cosmoshub,68.86,27.66
injective,15.23,20.59
near,89.76,27.34
osmosis,30.67,20.39
sei,4.94,16.69
solana,99.94,28.16
sui,31.74,16.84
tezos,64.72,28.75
