chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.41
celestia,55.59,23.39
cosmoshub,85.67,27.88
injective,28.5,21.3
near,95.61,27.45
osmosis,52.08,20.97
sei,14.61,17.03
solana,100.0,28.39
sui,53.08,17.36
tezos,91.05,28.89
