chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.47
celestia,62.43,22.84
cosmoshub,92.83,28.24
injective,28.76,21.26
near,95.94,27.61
osmosis,57.85,21.82
sei,15.66,16.7
solana,100.0,28.48
sui,53.13,17.35
tezos,89.19,28.8
