chain,bound_reduction_%,mu_reduction_%
avalanche,99.77,27.35
celestia,39.78,22.02
cosmoshub,65.02,27.71
injective,12.43,20.92
near,88.95,27.54
osmosis,36.29,21.11
sei,6.28,16.32
solana,99.92,28.24
sui,31.8,16.83
tezos,54.09,28.68
