chain,bound_reduction_%,mu_reduction_%
avalanche,97.55,27.28
celestia,17.92,21.25
cosmoshub,41.25,27.5
injective,12.43,20.92
near,75.79,27.45
osmosis,14.25,20.53
sei,0.54,16.02
solana,98.95,28.11
sui,16.85,16.55
tezos,54.09,28.68
