chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.62
celestia,73.86,23.21
cosmoshub,98.29,28.57
injective,47.21,21.65
near,99.73,27.78
osmosis,77.31,22.74
sei,26.68,17.2
solana,100.0,28.63
sui,72.7,17.96
tezos,98.75,28.97
