chain,bound_reduction_%,mu_reduction_%
avalanche,98.68,27.21
celestia,17.98,22.22
cosmoshub,44.92,27.46
injective,4.65,20.0
near,64.54,27.11
osmosis,18.87,20.19
sei,4.69,16.76
solana,98.49,27.96
sui,16.77,16.55
tezos,65.15,28.75
