chain,bound_reduction_%,mu_reduction_%
avalanche,99.87,27.28
celestia,29.74,22.61
cosmoshub,68.06,27.67
injective,15.01,20.61
near,89.72,27.34
osmosis,29.96,20.45
sei,4.69,16.76
solana,99.94,28.13
sui,31.7,16.85
tezos,65.15,28.75
