chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.4
celestia,53.22,22.25
cosmoshub,92.23,28.26
injective,26.79,21.52
near,96.96,27.82
osmosis,57.09,21.9
sei,17.95,15.82
solana,100.0,28.44
sui,54.51,17.54
tezos,82.9,28.87
