chain,bound_reduction_%,mu_reduction_%
avalanche,99.71,27.27
celestia,32.61,21.37
cosmoshub,62.42,27.74
injective,10.52,21.13
near,90.52,27.76
osmosis,36.18,21.12
sei,9.22,15.4
solana,99.88,28.18
sui,32.97,17.04
tezos,82.9,28.87
