chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.52
celestia,69.58,23.67
cosmoshub,94.88,28.14
injective,45.95,21.86
near,99.63,27.66
osmosis,71.19,21.8
sei,26.09,17.43
solana,100.0,28.56
sui,72.7,17.96
tezos,99.0,29.06
