chain,bound_reduction_%,mu_reduction_%
avalanche,99.87,27.32
celestia,29.71,22.61
cosmoshub,69.04,27.66
injective,15.02,20.61
near,88.94,27.36
osmosis,28.87,20.53
sei,4.95,16.68
solana,99.95,28.18
sui,31.84,16.83
tezos,64.9,28.74
