chain,bound_reduction_%,mu_reduction_%
avalanche,98.65,27.25
celestia,17.96,22.22
cosmoshub,46.17,27.45
injective,4.68,19.99
near,62.31,27.14
osmosis,17.69,20.27
sei,4.95,16.68
solana,98.69,28.01
sui,16.89,16.54
tezos,64.9,28.74
