chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.44
celestia,55.59,23.39
cosmoshub,85.76,27.88
injective,28.28,21.32
near,95.24,27.47
osmosis,50.84,21.1
sei,14.62,17.03
solana,100.0,28.41
sui,53.19,17.34
tezos,91.04,28.89
