chain,bound_reduction_%,mu_reduction_%
avalanche,99.79,27.34
celestia,30.47,22.57
cosmoshub,68.58,27.67
injective,15.18,20.59
near,89.54,27.34
osmosis,27.72,20.62
sei,4.43,16.83
solana,99.94,28.14
sui,32.01,16.95
tezos,63.22,28.68
