chain,bound_reduction_%,mu_reduction_%
avalanche,98.04,27.26
celestia,18.63,22.19
cosmoshub,45.72,27.46
injective,4.67,20.0
near,64.14,27.12
osmosis,16.54,20.36
sei,4.43,16.83
solana,99.06,28.02
sui,17.03,16.66
tezos,63.22,28.68
