chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.63
celestia,69.65,23.67
cosmoshub,94.82,28.15
injective,46.12,21.83
near,99.65,27.65
osmosis,70.15,21.95
sei,25.68,17.58
solana,100.0,28.52
sui,72.89,18.08
tezos,98.78,29.01
