chain,bound_reduction_%,mu_reduction_%
avalanche,98.42,27.28
celestia,19.54,21.15
cosmoshub,39.6,27.52
injective,3.22,20.28
near,79.16,27.55
osmosis,14.26,20.53
sei,0.95,15.71
solana,98.83,28.12
sui,16.53,16.71
tezos,53.05,28.94
