chain,bound_reduction_%,mu_reduction_%
avalanche,97.91,27.37
celestia,17.03,22.27
cosmoshub,44.86,27.46
injective,10.97,21.08
near,72.95,27.32
osmosis,15.91,20.4
sei,1.55,15.36
solana,98.89,28.13
sui,17.03,16.66
tezos,61.37,28.58
