chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.65
celestia,57.32,23.27
cosmoshub,84.94,27.9
injective,27.23,21.46
near,94.96,27.49
osmosis,59.55,21.63
sei,16.38,16.45
solana,100.0,28.51
sui,53.46,17.44
tezos,88.98,28.74
