chain,bound_reduction_%,mu_reduction_%
avalanche,99.91,27.49
celestia,42.42,23.01
cosmoshub,67.68,27.68
injective,10.97,21.08
near,86.96,27.41
osmosis,26.89,20.68
sei,7.71,15.91
solana,99.92,28.26
sui,32.04,16.95
tezos,61.37,28.58
