chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.44
celestia,61.32,22.94
cosmoshub,84.44,27.91
injective,26.87,21.51
near,95.4,27.53
osmosis,57.63,21.84
sei,16.01,16.58
solana,100.0,28.54
sui,53.2,17.49
tezos,89.95,28.77
