chain,bound_reduction_%,mu_reduction_%
avalanche,99.7,27.28
celestia,34.76,22.34
cosmoshub,68.13,27.67
injective,10.62,21.12
near,87.77,27.46
osmosis,35.57,21.16
sei,7.35,16.02
solana,99.96,28.34
sui,31.66,16.99
tezos,63.29,28.61
