date,chain,alpha,mu_reduction_%,baseline
2025-09-17,cosmoshub,0.25,27.89,uniform
2025-09-17,injective,0.25,21.3,uniform
2025-09-17,near,0.25,27.45,uniform
2025-09-17,osmosis,0.25,21.61,uniform
2025-09-17,sei,0.25,17.24,uniform
2025-09-17,solana,0.25,28.42,uniform
2025-09-17,sui,0.25,17.46,uniform
2025-09-17,tezos,0.25,28.81,uniform
2025-09-18,avalanche,0.25,27.52,uniform
2025-09-18,celestia,0.25,23.37,uniform
2025-09-18,cosmoshub,0.25,27.89,uniform
2025-09-18,injective,0.25,21.4,uniform
2025-09-18,near,0.25,27.45,uniform
2025-09-18,osmosis,0.25,21.22,uniform
2025-09-18,sei,0.25,17.24,uniform
2025-09-18,solana,0.25,28.43,uniform
2025-09-18,sui,0.25,17.46,uniform
2025-09-18,tezos,0.25,28.82,uniform
2025-09-19,avalanche,0.25,27.54,uniform
2025-09-19,celestia,0.25,23.4,uniform
2025-09-19,cosmoshub,0.25,27.89,uniform
2025-09-19,injective,0.25,21.4,uniform
2025-09-19,near,0.25,27.44,uniform
2025-09-19,osmosis,0.25,21.63,uniform
2025-09-19,sei,0.25,17.24,uniform
2025-09-19,solana,0.25,28.44,uniform
2025-09-19,sui,0.25,17.43,uniform
2025-09-19,tezos,0.25,28.83,uniform
2025-09-20,avalanche,0.25,27.53,uniform
2025-09-20,celestia,0.25,23.6,uniform
2025-09-20,cosmoshub,0.25,27.89,uniform
2025-09-20,injective,0.25,21.43,uniform
2025-09-20,near,0.25,27.45,uniform
2025-09-20,osmosis,0.25,21.63,uniform
2025-09-20,sei,0.25,17.24,uniform
2025-09-20,solana,0.25,28.44,uniform
2025-09-20,sui,0.25,17.43,uniform
2025-09-20,tezos,0.25,28.84,uniform
2025-09-21,avalanche,0.25,27.53,uniform
2025-09-21,celestia,0.25,23.6,uniform
2025-09-21,cosmoshub,0.25,27.89,uniform
2025-09-21,injective,0.25,21.43,uniform
2025-09-21,near,0.25,27.45,uniform
2025-09-21,osmosis,0.25,21.63,uniform
2025-09-21,sei,0.25,17.25,uniform
2025-09-21,solana,0.25,28.5,uniform
2025-09-21,sui,0.25,17.43,uniform
2025-09-21,tezos,0.25,28.84,uniform
2025-09-22,avalanche,0.25,27.56,uniform
2025-09-22,celestia,0.25,23.6,uniform
2025-09-22,cosmoshub,0.25,27.89,uniform
2025-09-22,injective,0.25,21.43,uniform
2025-09-22,near,0.25,27.62,uniform
2025-09-22,osmosis,0.25,21.61,uniform
2025-09-22,sei,0.25,17.25,uniform
2025-09-22,solana,0.25,28.5,uniform
2025-09-22,sui,0.25,17.42,uniform
2025-09-22,tezos,0.25,28.71,uniform
2025-09-23,avalanche,0.25,27.63,uniform
2025-09-23,celestia,0.25,23.28,uniform
2025-09-23,cosmoshub,0.25,27.9,uniform
2025-09-23,injective,0.25,21.44,uniform
2025-09-23,near,0.25,27.5,uniform
2025-09-23,osmosis,0.25,21.63,uniform
2025-09-23,sei,0.25,16.98,uniform
2025-09-23,solana,0.25,28.5,uniform
2025-09-23,sui,0.25,17.44,uniform
2025-09-23,tezos,0.25,28.75,uniform
2025-09-24,avalanche,0.25,27.64,uniform
2025-09-24,celestia,0.25,23.27,uniform
2025-09-24,cosmoshub,0.25,27.9,uniform
2025-09-24,injective,0.25,21.46,uniform
2025-09-24,near,0.25,27.6,uniform
2025-09-24,osmosis,0.25,21.65,uniform
2025-09-24,sei,0.25,16.57,uniform
2025-09-24,solana,0.25,28.5,uniform
2025-09-24,sui,0.25,17.44,uniform
2025-09-24,tezos,0.25,28.75,uniform
2025-09-25,avalanche,0.25,27.65,uniform
2025-09-25,celestia,0.25,23.27,uniform
2025-09-25,cosmoshub,0.25,27.9,uniform
2025-09-25,injective,0.25,21.46,uniform
2025-09-25,near,0.25,27.49,uniform
