file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,879,0.000,351,0.200,70.569685,3.781819e-05,0.000000
avalanche_weights.csv,879,0.100,351,0.200,64.071761,4.682444e-07,0.000000
avalanche_weights.csv,879,0.200,351,0.200,57.573837,1.319480e-09,0.000000
avalanche_weights.csv,879,0.300,351,0.200,51.075913,4.809973e-13,0.000000
avalanche_weights.csv,879,0.000,351,0.250,90.210851,7.052543e-02,0.000000
avalanche_weights.csv,879,0.100,351,0.250,81.948469,6.754883e-03,0.000000
avalanche_weights.csv,879,0.200,351,0.250,73.686087,2.061553e-04,0.000000
avalanche_weights.csv,879,0.300,351,0.250,65.423705,1.299847e-06,0.000000
avalanche_weights.csv,879,0.000,351,0.300,108.490719,8.005389e-01,0.000000
avalanche_weights.csv,879,0.100,351,0.300,98.600009,3.183653e-01,0.000000
avalanche_weights.csv,879,0.200,351,0.300,88.709299,4.941801e-02,0.000000
avalanche_weights.csv,879,0.300,351,0.300,78.818589,2.101093e-03,0.000000
avalanche_weights.csv,879,0.000,351,0.330,118.814013,1.000000e+00,0.000000
avalanche_weights.csv,879,0.100,351,0.330,108.010769,7.792860e-01,0.000000
avalanche_weights.csv,879,0.200,351,0.330,97.207525,2.609781e-01,0.000000
avalanche_weights.csv,879,0.300,351,0.330,86.404280,2.701642e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.815024,4.620964e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.133522,3.301888e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.452020,2.128378e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.770517,1.199721e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.108535,7.096934e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.337681,5.655699e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.566828,4.131215e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.795974,2.695414e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.113018,9.598485e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.221716,8.759473e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.330414,7.475381e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.439113,5.853554e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.791854,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.812668,9.929721e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.833483,9.385991e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.854298,8.280095e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.176752,1.035794e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,14.639077,3.710551e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.101402,9.261858e-03,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,11.563726,1.394633e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.988090,8.218344e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.849281,5.821324e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.710472,3.237677e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.571663,1.287521e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.684975,9.875710e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.316478,8.517558e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,20.947980,5.942886e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.579483,3.093188e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.320905,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.728815,9.886693e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.136724,8.356715e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.544634,5.443868e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.296066,6.465929e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,3.986459,5.484499e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.676853,4.446873e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.367246,3.403932e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.480715,9.180152e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.092643,8.503006e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.704572,7.612668e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.316500,6.527737e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.593923,9.997325e-01,0.000000
injective_weights.csv,50,0.100,20,0.300,6.134531,9.847312e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.675138,9.438908e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.215746,8.741184e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,7.409457,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.908511,1.000000e+00,0.000000
injective_weights.csv,50,0.200,20,0.330,6.407565,9.965137e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.906620,9.679254e-01,0.000000
near_weights.csv,318,0.000,127,0.200,27.136213,5.860397e-02,0.000000
near_weights.csv,318,0.100,127,0.200,24.622277,1.431308e-02,0.000000
near_weights.csv,318,0.200,127,0.200,22.108341,2.096764e-03,0.000000
near_weights.csv,318,0.300,127,0.200,19.594406,1.513329e-04,0.000000
near_weights.csv,318,0.000,127,0.250,35.238151,6.211369e-01,0.000000
near_weights.csv,318,0.100,127,0.250,31.993896,3.283105e-01,0.000000
near_weights.csv,318,0.200,127,0.250,28.749640,1.177312e-01,0.000000
near_weights.csv,318,0.300,127,0.250,25.505385,2.470089e-02,0.000000
near_weights.csv,318,0.000,127,0.300,39.140604,9.168502e-01,0.000000
near_weights.csv,318,0.100,127,0.300,35.546040,6.492113e-01,0.000000
near_weights.csv,318,0.200,127,0.300,31.951477,3.248330e-01,0.000000
near_weights.csv,318,0.300,127,0.300,28.356913,1.006395e-01,0.000000
near_weights.csv,318,0.000,127,0.330,42.552725,1.000000e+00,0.000000
near_weights.csv,318,0.100,127,0.330,38.656887,8.899865e-01,0.000000
near_weights.csv,318,0.200,127,0.330,34.761048,5.770396e-01,0.000000
near_weights.csv,318,0.300,127,0.330,30.865210,2.416303e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.279111,3.575433e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,7.651200,2.449736e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,7.023289,1.511104e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.200,6.395377,8.136131e-02,0.000000
osmosis_weights.csv,100,0.000,40,0.250,10.281000,7.392865e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.250,9.532900,6.034856e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.250,8.784800,4.561033e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.250,8.036700,3.123621e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.300,12.173096,9.638098e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.300,11.315787,8.870037e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.300,10.458477,7.684220e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.300,9.601167,6.165664e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.330,13.965294,1.000000e+00,0.000000
osmosis_weights.csv,100,0.100,40,0.330,13.008764,9.973043e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.330,12.052235,9.556231e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.330,11.095706,8.603484e-01,0.000000
sei_weights.csv,40,0.000,16,0.200,3.746127,7.991852e-01,0.000000
sei_weights.csv,40,0.100,16,0.200,3.531514,7.360654e-01,0.000000
sei_weights.csv,40,0.200,16,0.200,3.316901,6.645707e-01,0.000000
sei_weights.csv,40,0.300,16,0.200,3.102289,5.857708e-01,0.000000
sei_weights.csv,40,0.000,16,0.250,4.510959,9.512537e-01,0.000000
sei_weights.csv,40,0.100,16,0.250,4.259863,9.137757e-01,0.000000
sei_weights.csv,40,0.200,16,0.250,4.008767,8.642558e-01,0.000000
sei_weights.csv,40,0.300,16,0.250,3.757672,8.023304e-01,0.000000
sei_weights.csv,40,0.000,16,0.300,5.265517,9.997089e-01,0.121180
sei_weights.csv,40,0.100,16,0.300,4.978965,9.916281e-01,0.087960
sei_weights.csv,40,0.200,16,0.300,4.692414,9.712413e-01,0.065000
sei_weights.csv,40,0.300,16,0.300,4.405862,9.369923e-01,0.048630
sei_weights.csv,40,0.000,16,0.330,6.009999,1.000000e+00,0.338130
sei_weights.csv,40,0.100,16,0.330,5.688999,1.000000e+00,0.271960
sei_weights.csv,40,0.200,16,0.330,5.367999,1.000000e+00,0.213600
sei_weights.csv,40,0.300,16,0.330,5.046999,9.945997e-01,0.166380
solana_weights.csv,953,0.000,381,0.200,79.327822,7.123283e-05,0.000000
solana_weights.csv,953,0.100,381,0.200,71.754851,6.959232e-07,0.000000
solana_weights.csv,953,0.200,381,0.200,64.181880,1.257115e-09,0.000000
solana_weights.csv,953,0.300,381,0.200,56.608908,2.132646e-13,0.000000
solana_weights.csv,953,0.000,381,0.250,95.955647,3.515785e-02,0.000000
solana_weights.csv,953,0.100,381,0.250,86.839830,2.048068e-03,0.000000
solana_weights.csv,953,0.200,381,0.250,77.724014,3.002623e-05,0.000000
solana_weights.csv,953,0.300,381,0.250,68.608197,6.392376e-08,0.000000
solana_weights.csv,953,0.000,381,0.300,116.777041,7.420679e-01,0.000000
solana_weights.csv,953,0.100,381,0.300,105.778980,2.419326e-01,0.000000
solana_weights.csv,953,0.200,381,0.300,94.780919,2.597120e-02,0.000000
solana_weights.csv,953,0.300,381,0.300,83.782859,5.927124e-04,0.000000
solana_weights.csv,953,0.000,381,0.330,127.369567,1.000000e+00,0.000000
solana_weights.csv,953,0.100,381,0.330,115.432191,6.794884e-01,0.000000
solana_weights.csv,953,0.200,381,0.330,103.494814,1.687297e-01,0.000000
solana_weights.csv,953,0.300,381,0.330,91.557438,1.032322e-02,0.000000
sui_weights.csv,121,0.000,48,0.200,9.883200,2.831117e-01,0.000000
sui_weights.csv,121,0.100,48,0.200,9.291574,1.989956e-01,0.000000
sui_weights.csv,121,0.200,48,0.200,8.699948,1.297944e-01,0.000000
sui_weights.csv,121,0.300,48,0.200,8.108323,7.728360e-02,0.000000
sui_weights.csv,121,0.000,48,0.250,12.225600,6.781258e-01,0.000000
sui_weights.csv,121,0.100,48,0.250,11.518742,5.592659e-01,0.000000
sui_weights.csv,121,0.200,48,0.250,10.811885,4.361173e-01,0.000000
sui_weights.csv,121,0.300,48,0.250,10.105027,3.178050e-01,0.000000
sui_weights.csv,121,0.000,48,0.300,14.462400,9.469670e-01,0.003340
sui_weights.csv,121,0.100,48,0.300,13.650871,8.739334e-01,0.001490
sui_weights.csv,121,0.200,48,0.300,12.839341,7.715507e-01,0.000770
sui_weights.csv,121,0.300,48,0.300,12.027812,6.457958e-01,0.000290
sui_weights.csv,121,0.000,48,0.330,15.921600,9.998713e-01,0.055660
sui_weights.csv,121,0.100,48,0.330,15.043490,9.799315e-01,0.030390
sui_weights.csv,121,0.200,48,0.330,14.165379,9.238521e-01,0.017090
sui_weights.csv,121,0.300,48,0.330,13.287269,8.314280e-01,0.008620
tezos_weights.csv,302,0.000,120,0.200,27.585326,1.553006e-01,0.000000
tezos_weights.csv,302,0.100,120,0.200,24.906264,4.740423e-02,0.000000
tezos_weights.csv,302,0.200,120,0.200,22.227201,8.764690e-03,0.000000
tezos_weights.csv,302,0.300,120,0.200,19.548139,7.987567e-04,0.000000
tezos_weights.csv,302,0.000,120,0.250,35.554519,8.308741e-01,0.000000
tezos_weights.csv,302,0.100,120,0.250,32.118273,5.248108e-01,0.000000
tezos_weights.csv,302,0.200,120,0.250,28.682026,2.256665e-01,0.000000
tezos_weights.csv,302,0.300,120,0.250,25.245779,5.645923e-02,0.000000
tezos_weights.csv,302,0.000,120,0.300,43.080053,1.000000e+00,0.000000
tezos_weights.csv,302,0.100,120,0.300,38.930988,9.902630e-01,0.000000
tezos_weights.csv,302,0.200,120,0.300,34.781924,7.703247e-01,0.000000
tezos_weights.csv,302,0.300,120,0.300,30.632859,3.848951e-01,0.000000
tezos_weights.csv,302,0.000,120,0.330,43.080053,1.000000e+00,0.000000
tezos_weights.csv,302,0.100,120,0.330,38.930988,9.902630e-01,0.000000
tezos_weights.csv,302,0.200,120,0.330,34.781924,7.703247e-01,0.000000
tezos_weights.csv,302,0.300,120,0.330,30.632859,3.848951e-01,0.000000
