chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.82
celestia,71.22,23.51
cosmoshub,94.22,28.18
injective,45.45,21.94
near,99.61,27.58
osmosis,78.3,22.58
sei,27.37,16.9
solana,100.0,28.67
sui,72.81,18.1
tezos,98.62,28.95
