chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.56
celestia,73.5,23.26
cosmoshub,98.08,28.59
injective,45.11,21.99
near,99.84,27.94
osmosis,76.59,22.85
sei,28.78,16.19
solana,100.0,28.58
sui,73.95,18.15
tezos,97.8,29.03
