chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.41
celestia,53.07,22.27
cosmoshub,92.25,28.26
injective,26.77,21.52
near,96.96,27.79
osmosis,56.99,21.91
sei,17.95,15.82
solana,100.0,28.44
sui,54.49,17.55
tezos,82.51,28.87
