file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,883,0.000,353,0.200,73.207804,1.234212e-04,0.000000
avalanche_weights.csv,883,0.100,353,0.200,66.486684,1.980013e-06,0.000000
avalanche_weights.csv,883,0.200,353,0.200,59.765564,7.576089e-09,0.000000
avalanche_weights.csv,883,0.300,353,0.200,53.044444,4.009540e-12,0.000000
avalanche_weights.csv,883,0.000,353,0.250,91.628090,8.487974e-02,0.000000
avalanche_weights.csv,883,0.100,353,0.250,83.264828,8.757534e-03,0.000000
avalanche_weights.csv,883,0.200,353,0.250,74.901566,2.919519e-04,0.000000
avalanche_weights.csv,883,0.300,353,0.250,66.538304,2.053915e-06,0.000000
avalanche_weights.csv,883,0.000,353,0.300,108.701711,7.815661e-01,0.000000
avalanche_weights.csv,883,0.100,353,0.300,98.830974,3.022201e-01,0.000000
avalanche_weights.csv,883,0.200,353,0.300,88.960237,4.560475e-02,0.000000
avalanche_weights.csv,883,0.300,353,0.300,79.089499,1.888051e-03,0.000000
avalanche_weights.csv,883,0.000,353,0.330,118.190255,1.000000e+00,0.000000
avalanche_weights.csv,883,0.100,353,0.330,107.490595,7.253356e-01,0.000000
avalanche_weights.csv,883,0.200,353,0.330,96.790936,2.229482e-01,0.000000
avalanche_weights.csv,883,0.300,353,0.330,86.091276,2.106243e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.498696,5.968938e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.748827,4.489779e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.998957,3.055007e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.249088,1.822833e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.909580,8.356938e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,10.058622,7.009109e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.207664,5.399953e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.356706,3.723571e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.977251,9.967485e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.999526,9.517815e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,11.021801,8.507862e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.044076,6.983339e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.868842,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.841958,9.937524e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.815073,9.370364e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.788189,8.186082e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.396150,4.031548e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,17.576535,2.086576e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,15.756920,8.062958e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,13.937305,2.074666e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.668549,7.905288e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.561694,5.465065e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.454839,2.958206e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.347985,1.140617e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.681530,9.874825e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.313377,8.514845e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,20.945224,5.939497e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.577071,3.090552e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.289851,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.700866,9.879751e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.111881,8.333920e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.522896,5.416853e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.405317,6.791360e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.084786,5.804343e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.764254,4.742766e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.443722,3.658835e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.517713,9.233482e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.125942,8.569572e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.734171,7.687808e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.342399,6.605465e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.376106,9.955961e-01,0.000000
injective_weights.csv,50,0.100,20,0.300,5.938495,9.706760e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.500885,9.209466e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.063274,8.442984e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,7.194872,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.715385,1.000000e+00,0.000000
injective_weights.csv,50,0.200,20,0.330,6.235898,9.901300e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.756411,9.531535e-01,0.000000
near_weights.csv,297,0.000,118,0.200,25.119678,6.850334e-02,0.000000
near_weights.csv,297,0.100,118,0.200,22.806364,1.845959e-02,0.000000
near_weights.csv,297,0.200,118,0.200,20.493049,3.108531e-03,0.000000
near_weights.csv,297,0.300,118,0.200,18.179734,2.733810e-04,0.000000
near_weights.csv,297,0.000,118,0.250,32.479574,6.174929e-01,0.000000
near_weights.csv,297,0.100,118,0.250,29.509731,3.361924e-01,0.000000
near_weights.csv,297,0.200,118,0.250,26.539888,1.280063e-01,0.000000
near_weights.csv,297,0.300,118,0.250,23.570045,2.977511e-02,0.000000
near_weights.csv,297,0.000,118,0.300,35.611712,8.784087e-01,0.000000
near_weights.csv,297,0.100,118,0.300,32.368386,6.067936e-01,0.000000
near_weights.csv,297,0.200,118,0.300,29.125060,3.034132e-01,0.000000
near_weights.csv,297,0.300,118,0.300,25.881734,9.725539e-02,0.000000
near_weights.csv,297,0.000,118,0.330,41.007762,1.000000e+00,0.000000
near_weights.csv,297,0.100,118,0.330,37.304292,9.638808e-01,0.000000
near_weights.csv,297,0.200,118,0.330,33.600822,7.218046e-01,0.000000
near_weights.csv,297,0.300,118,0.330,29.897352,3.705730e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.941302,4.871748e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,8.287172,3.590753e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,7.633042,2.419615e-01,0.000000
