file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,940,0.000,376,0.200,77.079808,4.236326e-05,0.000000
avalanche_weights.csv,940,0.100,376,0.200,69.931827,4.428252e-07,0.000000
avalanche_weights.csv,940,0.200,376,0.200,62.783846,9.524333e-10,0.000000
avalanche_weights.csv,940,0.300,376,0.200,55.635865,2.291614e-13,0.000000
avalanche_weights.csv,940,0.000,376,0.250,97.401620,6.925373e-02,0.000000
avalanche_weights.csv,940,0.100,376,0.250,88.421458,5.879201e-03,0.000000
avalanche_weights.csv,940,0.200,376,0.250,79.441296,1.452512e-04,0.000000
avalanche_weights.csv,940,0.300,376,0.250,70.461134,6.514521e-07,0.000000
avalanche_weights.csv,940,0.000,376,0.300,116.059831,7.811463e-01,0.000000
avalanche_weights.csv,940,0.100,376,0.300,105.413848,2.851635e-01,0.000000
avalanche_weights.csv,940,0.200,376,0.300,94.767865,3.739971e-02,0.000000
avalanche_weights.csv,940,0.300,376,0.300,84.121882,1.194708e-03,0.000000
avalanche_weights.csv,940,0.000,376,0.330,126.431082,1.000000e+00,0.000000
avalanche_weights.csv,940,0.100,376,0.330,114.867974,7.277301e-01,0.000000
avalanche_weights.csv,940,0.200,376,0.330,103.304866,2.089282e-01,0.000000
avalanche_weights.csv,940,0.300,376,0.330,91.741758,1.657446e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,9.245957,5.475483e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.521361,4.042321e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.796765,2.696783e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,7.072170,1.575961e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.674261,8.018761e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.846835,6.626610e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.019409,5.026938e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.191983,3.410986e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,13.131555,9.989670e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,12.138400,9.615481e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,11.145244,8.665876e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,10.152089,7.172792e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.960070,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.924063,9.956892e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.888056,9.431129e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.852049,8.276935e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,19.756954,4.468535e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,17.901259,2.391486e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,16.045563,9.599206e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,14.189868,2.581379e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,22.950513,8.182613e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,20.815462,5.779569e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,18.680410,3.204286e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,16.545359,1.269656e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.941443,9.932646e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.547299,8.713222e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,21.153154,6.193855e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.759010,3.291871e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.504418,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.893976,9.923436e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.283534,8.488625e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.673093,5.603341e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.464727,6.962904e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,4.138254,5.975359e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.811782,4.903014e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.485309,3.798528e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.671723,9.434818e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.264551,8.829596e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.857379,7.988017e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.450206,6.921344e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.771959,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.300,6.294763,9.927026e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.817567,9.595317e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.340371,8.960166e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,6.771959,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.294763,9.927026e-01,0.000000
injective_weights.csv,50,0.200,20,0.330,5.817567,9.595317e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.340371,8.960166e-01,0.000000
near_weights.csv,294,0.000,117,0.200,24.699123,6.328634e-02,0.000000
near_weights.csv,294,0.100,117,0.200,22.428190,1.688139e-02,0.000000
near_weights.csv,294,0.200,117,0.200,20.157257,2.819158e-03,0.000000
near_weights.csv,294,0.300,117,0.200,17.886325,2.465893e-04,0.000000
near_weights.csv,294,0.000,117,0.250,32.223106,6.218313e-01,0.000000
near_weights.csv,294,0.100,117,0.250,29.279367,3.410463e-01,0.000000
near_weights.csv,294,0.200,117,0.250,26.335628,1.313316e-01,0.000000
near_weights.csv,294,0.300,117,0.250,23.391889,3.107114e-02,0.000000
near_weights.csv,294,0.000,117,0.300,35.835616,9.110648e-01,0.000000
near_weights.csv,294,0.100,117,0.300,32.570422,6.550276e-01,0.000000
near_weights.csv,294,0.200,117,0.300,29.305228,3.433254e-01,0.000000
near_weights.csv,294,0.300,117,0.300,26.040033,1.164804e-01,0.000000
near_weights.csv,294,0.000,117,0.330,38.944392,9.999735e-01,0.000000
near_weights.csv,294,0.100,117,0.330,35.408116,8.856296e-01,0.000000
near_weights.csv,294,0.200,117,0.330,31.871840,5.877780e-01,0.000000
near_weights.csv,294,0.300,117,0.330,28.335564,2.623969e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.089262,3.220008e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,7.480335,2.172814e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,6.871409,1.319129e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.200,6.262483,6.986522e-02,0.000000
osmosis_weights.csv,100,0.000,40,0.250,10.161399,7.188911e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.250,9.425259,5.826632e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.250,8.689119,4.371745e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.250,7.952979,2.972128e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.300,12.102532,9.591352e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.300,11.252279,8.795951e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.300,10.402026,7.593071e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.300,9.551773,6.071121e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.330,13.925412,1.000000e+00,0.000000
osmosis_weights.csv,100,0.100,40,0.330,12.972871,9.966670e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.330,12.020329,9.533175e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.330,11.067788,8.567719e-01,0.000000
sei_weights.csv,40,0.000,16,0.200,3.664548,7.762241e-01,0.000000
sei_weights.csv,40,0.100,16,0.200,3.458093,7.125068e-01,0.000000
sei_weights.csv,40,0.200,16,0.200,3.251638,6.413161e-01,0.000000
sei_weights.csv,40,0.300,16,0.200,3.045184,5.637722e-01,0.000000
sei_weights.csv,40,0.000,16,0.250,4.426311,9.399257e-01,0.000000
sei_weights.csv,40,0.100,16,0.250,4.183680,9.000489e-01,0.000000
sei_weights.csv,40,0.200,16,0.250,3.941049,8.487808e-01,0.000000
sei_weights.csv,40,0.300,16,0.250,3.698418,7.859130e-01,0.000000
sei_weights.csv,40,0.000,16,0.300,5.107480,9.966765e-01,0.099090
sei_weights.csv,40,0.100,16,0.300,4.836732,9.831478e-01,0.074920
sei_weights.csv,40,0.200,16,0.300,4.565984,9.579245e-01,0.054730
sei_weights.csv,40,0.300,16,0.300,4.295236,9.197705e-01,0.042400
sei_weights.csv,40,0.000,16,0.330,5.736913,1.000000e+00,0.272660
sei_weights.csv,40,0.100,16,0.330,5.443221,1.000000e+00,0.221910
sei_weights.csv,40,0.200,16,0.330,5.149530,9.978155e-01,0.175880
sei_weights.csv,40,0.300,16,0.330,4.855839,9.844705e-01,0.136860
solana_weights.csv,957,0.000,382,0.200,80.854490,1.355660e-04,0.000000
solana_weights.csv,957,0.100,382,0.200,73.128289,1.526029e-06,0.000000
solana_weights.csv,957,0.200,382,0.200,65.402088,3.238357e-09,0.000000
solana_weights.csv,957,0.300,382,0.200,57.675886,6.625476e-13,0.000000
solana_weights.csv,957,0.000,382,0.250,96.108642,3.399557e-02,0.000000
solana_weights.csv,957,0.100,382,0.250,86.976775,1.946521e-03,0.000000
