chain,bound_reduction_%,mu_reduction_%
avalanche,98.66,27.3
celestia,22.62,22.95
cosmoshub,45.61,27.46
injective,11.02,21.07
near,64.26,27.12
osmosis,15.48,20.43
sei,4.26,16.88
solana,98.96,28.12
sui,17.15,16.65
tezos,67.3,28.69
