chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.53
celestia,52.4,23.6
cosmoshub,85.34,27.89
injective,27.45,21.43
near,95.57,27.45
osmosis,59.61,21.63
sei,13.89,17.25
solana,100.0,28.5
sui,53.54,17.43
tezos,91.8,28.84
