chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.7
celestia,80.67,24.14
cosmoshub,94.72,28.15
injective,45.94,21.86
near,99.65,27.64
osmosis,69.6,22.03
sei,25.52,17.64
solana,100.0,28.66
sui,72.98,18.05
tezos,99.09,29.01
