chain,bound_reduction_%,mu_reduction_%
avalanche,99.74,27.35
celestia,38.58,22.1
cosmoshub,68.57,27.67
injective,12.54,20.9
near,88.88,27.55
osmosis,35.25,21.19
sei,6.28,16.33
solana,99.92,28.25
sui,31.7,16.85
tezos,60.86,28.89
