chain,bound_reduction_%,mu_reduction_%
avalanche,97.32,27.28
celestia,16.51,21.34
cosmoshub,45.54,27.46
injective,3.2,20.29
near,75.73,27.47
osmosis,13.17,20.61
sei,0.54,16.02
solana,98.95,28.11
sui,16.72,16.56
tezos,60.86,28.89
