file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk,chain,date,baseline
injective_weights.csv,50,0.2,20,0.2,3.776782,0.4785066,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.3,20,0.2,3.454684,0.3695595,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.0,20,0.25,5.533127,0.9255129,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.1,20,0.25,5.139815,0.8596837,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.2,20,0.25,4.746502,0.7718772,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.3,20,0.25,4.353189,0.6637643,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.0,20,0.3,6.390667,0.9960346,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.1,20,0.3,5.9516,0.9717685,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.2,20,0.3,5.512534,0.9226133,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.3,20,0.3,5.073467,0.8463954,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.0,20,0.33,7.195092,1.0,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.1,20,0.33,6.715583,1.0,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.2,20,0.33,6.236074,0.9901383,0.0,injective,2025-09-05,uniform
injective_weights.csv,50,0.3,20,0.33,5.756564,0.9531702,0.0,injective,2025-09-05,uniform
near_weights.csv,300,0.0,120,0.2,25.62491,0.06801335,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.1,120,0.2,23.262419,0.01805568,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.2,120,0.2,20.899928,0.002972342,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.3,120,0.2,18.537437,0.0002527557,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.0,120,0.25,33.194259,0.6280587,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.1,120,0.25,30.154833,0.3425148,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.2,120,0.25,27.115407,0.1299225,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.3,120,0.25,24.075981,0.02987445,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.0,120,0.3,36.387803,0.8873401,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.1,120,0.3,33.069022,0.6161751,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.2,120,0.3,29.750242,0.3081694,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.3,120,0.3,26.431462,0.09809744,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.0,120,0.33,41.919868,1.0,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.1,120,0.33,38.127881,0.9698237,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.2,120,0.33,34.335895,0.7323818,0.0,near,2025-09-05,uniform
near_weights.csv,300,0.3,120,0.33,30.543908,0.3768766,0.0,near,2025-09-05,uniform
osmosis_weights.csv,100,0.0,40,0.2,8.776232,0.4544054,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.1,40,0.2,8.138609,0.331134,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.2,40,0.2,7.500986,0.2205489,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.3,40,0.2,6.863363,0.1309366,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.0,40,0.25,10.789276,0.8187647,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.1,40,0.25,10.030349,0.6958949,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.2,40,0.25,9.271421,0.552562,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.3,40,0.25,8.512494,0.4025023,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.0,40,0.3,12.673905,0.9886284,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.1,40,0.3,11.806514,0.936303,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.2,40,0.3,10.939124,0.8397333,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.3,40,0.3,10.071733,0.7032269,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.0,40,0.33,13.570981,1.0,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.1,40,0.33,12.653883,0.9879126,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.2,40,0.33,11.736785,0.9301657,0.0,osmosis,2025-09-05,uniform
osmosis_weights.csv,100,0.3,40,0.33,10.819687,0.8231161,0.0,osmosis,2025-09-05,uniform
sei_weights.csv,40,0.0,16,0.2,3.818076,0.818362,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.1,16,0.2,3.596268,0.7560269,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.2,16,0.2,3.374461,0.6845172,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.3,16,0.2,3.152653,0.6048409,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.0,16,0.25,4.626317,0.9646243,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.1,16,0.25,4.363685,0.9306971,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.2,16,0.25,4.101053,0.8838882,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.3,16,0.25,3.838422,0.8236007,0.0,sei,2025-09-05,uniform
sei_weights.csv,40,0.0,16,0.3,5.407117,1.0,0.13183,sei,2025-09-05,uniform
sei_weights.csv,40,0.1,16,0.3,5.106406,0.9966441,0.0966,sei,2025-09-05,uniform
sei_weights.csv,40,0.2,16,0.3,4.805694,0.9808746,0.07459,sei,2025-09-05,uniform
sei_weights.csv,40,0.3,16,0.3,4.504982,0.9504964,0.05294,sei,2025-09-05,uniform
sei_weights.csv,40,0.0,16,0.33,5.407117,1.0,0.13078,sei,2025-09-05,uniform
sei_weights.csv,40,0.1,16,0.33,5.106406,0.9966441,0.09758,sei,2025-09-05,uniform
sei_weights.csv,40,0.2,16,0.33,4.805694,0.9808746,0.07433,sei,2025-09-05,uniform
sei_weights.csv,40,0.3,16,0.33,4.504982,0.9504964,0.05276,sei,2025-09-05,uniform
solana_weights.csv,979,0.0,391,0.2,83.4224,0.00015177,0.0,solana,2025-09-05,uniform
solana_weights.csv,979,0.1,391,0.2,75.479547,1.69455e-06,0.0,solana,2025-09-05,uniform
