chain,bound_reduction_%,mu_reduction_%
avalanche,99.74,27.35
celestia,39.02,22.07
cosmoshub,68.68,27.66
injective,12.56,20.9
near,89.02,27.55
osmosis,36.03,21.13
sei,6.27,16.33
solana,99.92,28.25
sui,31.8,16.83
tezos,61.51,28.89
