chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.48
celestia,62.02,22.88
cosmoshub,84.33,27.91
injective,28.89,21.24
near,96.02,27.62
osmosis,57.75,21.83
sei,15.66,16.7
solana,100.0,28.5
sui,53.13,17.35
tezos,93.2,28.99
