chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.62
celestia,74.04,23.19
cosmoshub,98.65,28.52
injective,47.36,21.62
near,99.74,27.79
osmosis,77.24,22.75
sei,26.7,17.19
solana,100.0,28.64
sui,72.7,17.96
tezos,99.49,29.14
