chain,bound_reduction_%,mu_reduction_%
avalanche,97.3,27.28
celestia,17.2,21.3
cosmoshub,45.56,27.46
injective,3.21,20.28
near,75.84,27.47
osmosis,13.97,20.55
sei,0.54,16.02
solana,98.97,28.12
sui,16.85,16.55
tezos,61.51,28.89
