chain,bound_reduction_%,mu_reduction_%
avalanche,99.79,27.27
celestia,29.69,21.56
cosmoshub,64.65,27.71
injective,12.48,20.91
near,90.66,27.59
osmosis,36.24,21.11
sei,7.33,16.02
solana,99.93,28.24
sui,31.63,16.86
tezos,83.02,28.86
