chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.4
celestia,51.76,22.37
cosmoshub,92.72,28.24
injective,28.8,21.26
near,96.69,27.66
osmosis,57.81,21.82
sei,16.51,16.4
solana,100.0,28.48
sui,53.01,17.37
tezos,83.02,28.86
