file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,857,0.000,342,0.200,72.341767,3.366923e-04,0.000000
avalanche_weights.csv,857,0.100,342,0.200,65.706190,7.268763e-06,0.000000
avalanche_weights.csv,857,0.200,342,0.200,59.070613,4.033033e-08,0.000000
avalanche_weights.csv,857,0.300,342,0.200,52.435036,3.433483e-11,0.000000
avalanche_weights.csv,857,0.000,342,0.250,87.553370,6.974922e-02,0.000000
avalanche_weights.csv,857,0.100,342,0.250,79.556259,6.937697e-03,0.000000
avalanche_weights.csv,857,0.200,342,0.250,71.559149,2.270405e-04,0.000000
avalanche_weights.csv,857,0.300,342,0.250,63.562038,1.606852e-06,0.000000
avalanche_weights.csv,857,0.000,342,0.300,105.302339,7.870472e-01,0.000000
avalanche_weights.csv,857,0.100,342,0.300,95.729865,3.127689e-01,0.000000
avalanche_weights.csv,857,0.200,342,0.300,86.157391,4.982669e-02,0.000000
avalanche_weights.csv,857,0.300,342,0.300,76.584916,2.258694e-03,0.000000
avalanche_weights.csv,857,0.000,342,0.330,114.655345,1.000000e+00,0.000000
avalanche_weights.csv,857,0.100,342,0.330,104.267290,7.387250e-01,0.000000
avalanche_weights.csv,857,0.200,342,0.330,93.879235,2.375284e-01,0.000000
avalanche_weights.csv,857,0.300,342,0.330,83.491180,2.432834e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.905290,4.800189e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.214761,3.453772e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.524232,2.242537e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.833703,1.273737e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.843878,8.265429e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,10.039490,6.975198e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,9.235102,5.454088e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,8.430714,3.866166e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.520007,9.825424e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.628007,9.200144e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.736006,8.110266e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.844005,6.621399e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.252858,9.998371e-01,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.327572,9.730186e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.402286,8.967200e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.477000,7.713809e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,17.021405,1.617271e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,15.399264,6.405192e-02,0.000000
