file,n,lambda,m,alpha,mu,chernoff_bound,empirical_risk
avalanche_weights.csv,884,0.000,353,0.200,70.966919,3.558515e-05,0.000000
avalanche_weights.csv,884,0.100,353,0.200,64.429277,4.284002e-07,0.000000
avalanche_weights.csv,884,0.200,353,0.200,57.891635,1.161871e-09,0.000000
avalanche_weights.csv,884,0.300,353,0.200,51.353993,4.017814e-13,0.000000
avalanche_weights.csv,884,0.000,353,0.250,90.802425,7.070097e-02,0.000000
avalanche_weights.csv,884,0.100,353,0.250,82.480893,6.715511e-03,0.000000
avalanche_weights.csv,884,0.200,353,0.250,74.159360,2.018089e-04,0.000000
avalanche_weights.csv,884,0.300,353,0.250,65.837828,1.240212e-06,0.000000
avalanche_weights.csv,884,0.000,353,0.300,109.064545,7.975944e-01,0.000000
avalanche_weights.csv,884,0.100,353,0.300,99.116462,3.143468e-01,0.000000
avalanche_weights.csv,884,0.200,353,0.300,89.168378,4.802538e-02,0.000000
avalanche_weights.csv,884,0.300,353,0.300,79.220295,1.990310e-03,0.000000
avalanche_weights.csv,884,0.000,353,0.330,119.436645,1.000000e+00,0.000000
avalanche_weights.csv,884,0.100,353,0.330,108.571148,7.756984e-01,0.000000
avalanche_weights.csv,884,0.200,353,0.330,97.705651,2.568332e-01,0.000000
avalanche_weights.csv,884,0.300,353,0.330,86.840154,2.605364e-02,0.000000
celestia_weights.csv,100,0.000,40,0.200,8.824391,4.639546e-01,0.000000
celestia_weights.csv,100,0.100,40,0.200,8.141951,3.317554e-01,0.000000
celestia_weights.csv,100,0.200,40,0.200,7.459512,2.140095e-01,0.000000
celestia_weights.csv,100,0.300,40,0.200,6.777073,1.207282e-01,0.000000
celestia_weights.csv,100,0.000,40,0.250,10.119340,7.115821e-01,0.000000
celestia_weights.csv,100,0.100,40,0.250,9.347406,5.674738e-01,0.000000
celestia_weights.csv,100,0.200,40,0.250,8.575472,4.148152e-01,0.000000
celestia_weights.csv,100,0.300,40,0.250,7.803538,2.708509e-01,0.000000
celestia_weights.csv,100,0.000,40,0.300,12.159208,9.629130e-01,0.000000
celestia_weights.csv,100,0.100,40,0.300,11.263287,8.808959e-01,0.000000
celestia_weights.csv,100,0.200,40,0.300,10.367367,7.536394e-01,0.000000
celestia_weights.csv,100,0.300,40,0.300,9.471446,5.916251e-01,0.000000
celestia_weights.csv,100,0.000,40,0.330,13.867008,1.000000e+00,0.000000
celestia_weights.csv,100,0.100,40,0.330,12.880307,9.947028e-01,0.000000
celestia_weights.csv,100,0.200,40,0.330,11.893607,9.435620e-01,0.000000
celestia_weights.csv,100,0.300,40,0.330,10.906906,8.353258e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.200,16.293012,1.106246e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.200,14.743711,4.019732e-02,0.000000
cosmoshub_weights.csv,200,0.200,80,0.200,13.194410,1.020050e-02,0.000000
cosmoshub_weights.csv,200,0.300,80,0.200,11.645109,1.566364e-03,0.000000
cosmoshub_weights.csv,200,0.000,80,0.250,20.019209,4.791356e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.250,18.137288,2.626245e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.250,16.255367,1.083102e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.250,14.373446,3.005619e-02,0.000000
cosmoshub_weights.csv,200,0.000,80,0.300,25.732770,9.887659e-01,0.000000
cosmoshub_weights.csv,200,0.100,80,0.300,23.359493,8.554962e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.300,20.986216,5.989847e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.300,18.612939,3.129841e-01,0.000000
cosmoshub_weights.csv,200,0.000,80,0.330,28.350664,1.000000e+00,0.000000
cosmoshub_weights.csv,200,0.100,80,0.330,25.755598,9.893149e-01,0.000000
cosmoshub_weights.csv,200,0.200,80,0.330,23.160532,8.378432e-01,0.000000
cosmoshub_weights.csv,200,0.300,80,0.330,20.565465,5.469749e-01,0.000000
injective_weights.csv,50,0.000,20,0.200,4.296370,6.466853e-01,0.000000
injective_weights.csv,50,0.100,20,0.200,3.986733,5.485399e-01,0.000000
injective_weights.csv,50,0.200,20,0.200,3.677096,4.447698e-01,0.000000
injective_weights.csv,50,0.300,20,0.200,3.367459,3.404638e-01,0.000000
injective_weights.csv,50,0.000,20,0.250,5.480373,9.179652e-01,0.000000
injective_weights.csv,50,0.100,20,0.250,5.092336,8.502385e-01,0.000000
injective_weights.csv,50,0.200,20,0.250,4.704299,7.611970e-01,0.000000
injective_weights.csv,50,0.300,20,0.250,4.316261,6.527017e-01,0.000000
injective_weights.csv,50,0.000,20,0.300,6.594104,9.997339e-01,0.000000
injective_weights.csv,50,0.100,20,0.300,6.134694,9.847409e-01,0.000000
injective_weights.csv,50,0.200,20,0.300,5.675283,9.439082e-01,0.000000
injective_weights.csv,50,0.300,20,0.300,5.215873,8.741418e-01,0.000000
injective_weights.csv,50,0.000,20,0.330,7.409483,1.000000e+00,0.000000
injective_weights.csv,50,0.100,20,0.330,6.908534,1.000000e+00,0.000000
injective_weights.csv,50,0.200,20,0.330,6.407586,9.965143e-01,0.000000
injective_weights.csv,50,0.300,20,0.330,5.906638,9.679270e-01,0.000000
near_weights.csv,314,0.000,125,0.200,26.563130,5.712152e-02,0.000000
near_weights.csv,314,0.100,125,0.200,24.105862,1.406210e-02,0.000000
near_weights.csv,314,0.200,125,0.200,21.648593,2.090985e-03,0.000000
near_weights.csv,314,0.300,125,0.200,19.191325,1.547387e-04,0.000000
near_weights.csv,314,0.000,125,0.250,34.691890,6.266141e-01,0.000000
near_weights.csv,314,0.100,125,0.250,31.501363,3.350660e-01,0.000000
near_weights.csv,314,0.200,125,0.250,28.310837,1.224277e-01,0.000000
near_weights.csv,314,0.300,125,0.250,25.120310,2.643828e-02,0.000000
near_weights.csv,314,0.000,125,0.300,38.596535,9.218214e-01,0.000000
near_weights.csv,314,0.100,125,0.300,35.055353,6.599288e-01,0.000000
near_weights.csv,314,0.200,125,0.300,31.514171,3.361389e-01,0.000000
near_weights.csv,314,0.300,125,0.300,27.972989,1.070458e-01,0.000000
near_weights.csv,314,0.000,125,0.330,41.923006,1.000000e+00,0.000000
near_weights.csv,314,0.100,125,0.330,38.088985,8.940294e-01,0.000000
near_weights.csv,314,0.200,125,0.330,34.254965,5.859309e-01,0.000000
near_weights.csv,314,0.300,125,0.330,30.420945,2.501395e-01,0.000000
osmosis_weights.csv,100,0.000,40,0.200,8.344217,3.699629e-01,0.000000
osmosis_weights.csv,100,0.100,40,0.200,7.709795,2.548009e-01,0.000000
osmosis_weights.csv,100,0.200,40,0.200,7.075373,1.580263e-01,0.000000
osmosis_weights.csv,100,0.300,40,0.200,6.440952,8.556460e-02,0.000000
