chain,bound_reduction_%,mu_reduction_%
avalanche,99.82,27.52
celestia,35.84,22.28
cosmoshub,68.28,27.67
injective,10.36,21.14
near,87.15,27.48
osmosis,35.4,21.18
sei,7.16,16.07
solana,99.9,28.27
sui,31.8,16.98
tezos,63.28,28.63
