chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.63
celestia,61.54,22.92
cosmoshub,84.63,27.91
injective,26.65,21.54
near,95.16,27.55
osmosis,57.56,21.85
sei,15.86,16.63
solana,100.0,28.52
sui,53.28,17.48
tezos,90.04,28.79
