chain,bound_reduction_%,mu_reduction_%
avalanche,98.0,27.43
celestia,24.47,21.87
cosmoshub,45.45,27.46
injective,10.36,21.14
near,72.9,27.39
osmosis,13.18,20.61
sei,1.2,15.56
solana,98.67,28.13
sui,16.74,16.69
tezos,63.28,28.63
