chain,bound_reduction_%,mu_reduction_%
avalanche,98.06,27.14
celestia,18.12,22.21
cosmoshub,45.84,27.45
injective,4.75,19.98
near,64.47,27.11
sei,4.63,16.78
solana,99.08,28.03
sui,17.07,16.66
tezos,62.11,28.67
