chain,bound_reduction_%,mu_reduction_%
avalanche,100.0,27.52
celestia,69.46,23.68
cosmoshub,94.85,28.14
injective,46.1,21.83
near,99.65,27.64
sei,25.86,17.51
solana,100.0,28.59
sui,72.9,18.07
tezos,98.68,29.01
